"PSComputerName","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","ArpAlwaysSourceRoute","ArpUseEtherSNAP","Caption","DatabasePath","DeadGWDetectEnabled","DefaultIPGateway","DefaultTOS","DefaultTTL","Description","DHCPEnabled","DHCPLeaseExpires","DHCPLeaseObtained","DHCPServer","DNSDomain","DNSDomainSuffixSearchOrder","DNSEnabledForWINSResolution","DNSHostName","DNSServerSearchOrder","DomainDNSRegistrationEnabled","ForwardBufferMemory","FullDNSRegistrationEnabled","GatewayCostMetric","IGMPLevel","Index","InterfaceIndex","IPAddress","IPConnectionMetric","IPEnabled","IPFilterSecurityEnabled","IPPortSecurityEnabled","IPSecPermitIPProtocols","IPSecPermitTCPPorts","IPSecPermitUDPPorts","IPSubnet","IPUseZeroBroadcast","IPXAddress","IPXEnabled","IPXFrameType","IPXMediaType","IPXNetworkNumber","IPXVirtualNetNumber","KeepAliveInterval","KeepAliveTime","MACAddress","MTU","NumForwardPackets","PMTUBHDetectEnabled","PMTUDiscoveryEnabled","ServiceName","SettingID","TcpipNetbiosOptions","TcpMaxConnectRetransmissions","TcpMaxDataRetransmissions","TcpNumConnections","TcpUseRFC1122UrgentPointer","TcpWindowSize","WINSEnableLMHostsLookup","WINSHostLookupFile","WINSPrimaryServer","WINSScopeID","WINSSecondaryServer"
"DESKTOP-2E8SKHK","2","Win32_NetworkAdapterConfiguration","CIM_Setting","CIM_Setting","Win32_NetworkAdapterConfiguration.Index=0","61","System.String[]","DESKTOP-2E8SKHK","root\cimv2","\\DESKTOP-2E8SKHK\root\cimv2:Win32_NetworkAdapterConfiguration.Index=0",,,"[00000000] Microsoft Kernel Debug Network Adapter",,,,,,"Microsoft Kernel Debug Network Adapter","True",,,,,,,,,,,,,,"0","4",,,"False",,,,,,,,,,,,,,,,,,,,,"kdnic","{248AAC08-7C1B-499A-8709-BE7327CB3EB9}",,,,,,,,,,,
"DESKTOP-2E8SKHK","2","Win32_NetworkAdapterConfiguration","CIM_Setting","CIM_Setting","Win32_NetworkAdapterConfiguration.Index=1","61","System.String[]","DESKTOP-2E8SKHK","root\cimv2","\\DESKTOP-2E8SKHK\root\cimv2:Win32_NetworkAdapterConfiguration.Index=1",,,"[00000001] Intel(R) 82574L Gigabit Network Connection","%SystemRoot%\System32\drivers\etc",,"System.String[]",,,"Intel(R) 82574L Gigabit Network Connection","True","20231126112618.000000-300","20231124112618.000000-300","10.0.0.1","hsd1.vt.comcast.net","System.String[]","False","DESKTOP-2E8SKHK","System.String[]","False",,"True","System.UInt16[]",,"1","3","System.String[]","25","True","False",,"System.String[]","System.String[]","System.String[]","System.String[]",,,,,,,,,,"00:0C:29:2E:70:C6",,,,,"e1iexpress","{0A9CF10D-E3CF-4912-B0F8-0A7E0829D904}","0",,,,,,"True",,,"",
